"sex","aage","AJBHRS","ancars","ahhsize","aqfedhi","arace","aregion","atenure","avote","afiyr"
1,52,38,"2","2","4","1","4","5","1",7753.1596679688
1,25,41,"3","3","7","5","3","2","10",18865.228515625
2,63,10,"1","2","12","1","8","3","3",2917.1845703125
1,54,37,"1","2","10","1","3","1","2",6820.0004882813
2,55,35,"1","2","12","1","3","6","1",3391.3508300781
1,56,39,"1","3","10","1","9","2","2",10923.9404296875
2,23,36,"0","1","4","1","9","7","6",6928.2114257813
2,25,36,"1","2","12","1","17","2","10",2207.443359375
2,21,12,"1","4","6","1","18","2","2",3148.5317382813
1,24,39,"1","2","7","1","15","2","2",9940
2,20,39,"1","3","9","1","16","3","2",5154.080078125
1,20,39,"2","3","6","1","16","1","2",7968.0356445313
2,41,20,"3","5","6","1","3","2","3",4294.9541015625
2,40,35,"1","2","6","1","14","1","1",7134.697265625
2,44,35,"2","3","8","1","16","2","1",13287.33203125
2,30,37,"1","3","5","1","17","2","3",13783.6728515625
2,29,37,"0","2","7","1","7","6","1",10022.9306640625
2,51,20,"1","4","7","1","15","1","2",6824.2216796875
2,59,16,"3","3","8","1","3","1","1",4446.7001953125
1,42,40,"2","4","7","1","3","2","1",20483.517578125
2,46,5,"2","4","2","1","11","2","1",4353.3305664063
2,20,37,"3","3","4","1","3","1","2",6726.85546875
1,53,45,"3","3","4","1","8","2","2",20543.654296875
1,26,8,"0","4","4","1","8","2","3",2701.3618164063
2,45,10,"3","3","12","1","4","2","10",2347.1000976563
2,56,90,"1","2","12","1","4","4","3",9611.5078125
1,23,39,"0","1","6","1","10","4","2",7593.8481445313
1,28,40,"1","2","4","1","2","2","10",14453.255859375
2,42,37,"2","4","7","1","3","2","1",2790.3361816406
1,21,35,"1","2","4","1","14","2","1",7317.1870117188
2,51,40,"0","2","8","1","4","2","1",8300.615234375
1,18,12,"3","3","7","1","3","2","2",1360.6281738281
1,29,40,"1","1","6","1","4","5","1",8137.2001953125
2,51,22,"3","3","12","1","8","1","1",5852
1,40,40,"2","5","2","1","8","2","3",16980.978515625
1,41,55,"2","2","4","1","5","1","1",15905.54296875
1,61,39,"2","3","4","1","3","4","8",15083.603515625
2,52,37,"2","3","12","1","4","2","3",7281.0576171875
1,61,39,"2","2","6","1","9","2","1",21043.654296875
1,63,38,"1","2","7","1","8","3","2",11284.48046875
1,44,50,"2","5","10","1","14","2","2",15860
2,34,10,"1","4","12","1","4","2","2",2590.7888183594
2,47,16,"2","4","7","1","3","2","10",3483.6989746094
2,45,14,"1","2","4","1","9","2","3",3871.7783203125
1,37,42,"1","4","4","1","11","2","1",16064.19921875
1,45,40,"0","4","12","1","6","3","2",5272.7036132813
2,27,36,"2","3","7","1","10","2","2",8382.490234375
2,33,19,"2","4","5","1","4","2","1",8637.39453125
1,39,40,"1","4","4","1","13","2","10",12730
1,34,39,"2","3","9","1","7","2","1",13505.0810546875
2,29,18,"1","5","7","1","5","2","2",3961.5581054688
2,49,38,"1","3","4","1","17","2","2",6430
2,52,16,"2","2","7","1","3","2","3",3140.5500488281
2,21,35,"3","4","7","1","12","1","2",7318.0356445313
2,33,22,"1","4","5","1","13","2","2",8074.888671875
2,18,15,"2","4","7","1","3","2","10",2509.8657226563
2,30,6,"0","6","4","1","6","3","1",4133.328125
1,47,39,"2","3","4","9","3","2","3",16276
2,25,38,"1","2","5","1","18","1","1",16495.185546875
2,33,30,"1","3","7","1","2","2","1",7539.099609375
2,17,7,"1","3","7","1","17","2","1",736.3688964844
1,44,37,"2","5","12","1","16","2","2",6757.5
